"","FashionA","FashionB","BooksToys","Hillstrom"
"2Model_Ridge","Decile: 9 | ROI: 0.27","Decile: 7 | ROI: 0.45","Decile: 1 | ROI: 0.67","Decile: 2 | ROI: 12.57"
"2Model_Ridge_60","Decile: 10 | ROI: 0.22","Decile: 9 | ROI: 0.26","Decile: 1 | ROI: 1.56",NA
"causalTree","Decile: 3 | ROI: 0.52","Decile: 6 | ROI: 0.46","Decile: 2 | ROI: 0.12","Decile: 10 | ROI: 2.89"
"causalTree_large","Decile: 10 | ROI: 0.30","Decile: 2 | ROI: 0.26",NA,NA
"causalForest","Decile: 9 | ROI: 0.43","Decile: 6 | ROI: 0.44","Decile: 1 | ROI: 0.52","Decile: 9 | ROI: 5.26"
"causalForest_60","Decile: 10 | ROI: 0.27","Decile: 6 | ROI: 0.43","Decile: 9 | ROI: -0.07",NA
"causalBart","Decile: 10 | ROI: 0.18","Decile: 8 | ROI: 0.08","Decile: 1 | ROI: 1.65","Decile: 2 | ROI: 9.39"
"causalBart_60","Decile: 10 | ROI: 0.05","Decile: 8 | ROI: 0.27","Decile: 1 | ROI: 0.21",NA
"causalBoosting","Decile: 10 | ROI: 0.26","Decile: 8 | ROI: 0.57","Decile: 2 | ROI: 0.07","Decile: 10 | ROI: 11.72"
"ensemble","Decile: 10 | ROI: 0.23","Decile: 4 | ROI: 0.49","Decile: 1 | ROI: 0.86","Decile: 3 | ROI: 9.36"
